candidat,exergue,thematique_1,thematique_2,position,detail,signes,nom_source,lien_source,date_source,theme_1,theme_2
Nathalie Arthaud,Evolution du smic,Emploi,Salaires,Augmenter le smic à 2 000 euros net,"La candidate de Lutte ouvrière estime qu'il faut remonter le smic, qui condamne plusieurs millions de salariés à la pauvreté, à 2 000 euros net par mois.",pos.: 35 | détail:156,Programme,https://www.nathalie-arthaud.info/mon-programme-de-luttes-194041.html,"",Economie,Economie
Nathalie Arthaud,Montant des salaires,Pouvoir d'achat,Salaires,Augmenter les salaires de 300 euros minimum,"La candidate d'extrême gauche estime qu'il faut une augmentation générale des salaires, en les rehaussant de 300, de 400, de 500 euros. Elle souhaite aussi indexer les salaires sur les prix pour faire face à l'inflation.",pos.: 43 | détail:222,France info,https://www.francetvinfo.fr/replay-radio/19h20-politique/presidentielle-2022-ou-sont-les-interets-des-travailleurs-dans-cette-campagne-s-interroge-nathalie-arthaud_4910487.html#xtor=CS2-765-[share]-,"",Social,Economie
Nathalie Arthaud,Durée légale de travail,Vie au travail,Pouvoir d'achat,Diminuer le temps de travail hebdomadaire,"Sans entrer dans le détail, la candidate de Lutte ouvrière estime, dans son programme, qu'il est nécessaire de « baisser les cadences et réduire le temps de travail pour conserver tous les postes » et qu’« embaucher est de l’intérêt des travailleurs et de toute la société ».",pos.: 41 | détail:275,Programme,https://www.nathalie-arthaud.info/editoriaux/pour-chaque-travailleur-un-emploi-et-un-salaire-decent-155277.html,"",Social,Social
Nathalie Arthaud,Montant des retraites,Retraites,Pouvoir d'achat,Monter le minimum retraite à 2 000 euros net,"Comme pour le smic, la candidate de Lutte ouvrière veut faire passer le minimum retraite à 2 000 euros net par mois. ",pos.: 44 | détail:117,RFI,https://www.rfi.fr/fr/podcasts/mardi-politique/20220125-nathalie-arthaud-porte-parole-de-lutte-ouvriC3A8re-candidate-C3A0-l-C3A9lection-prC3A9sidentielle,"",Social,Social
Nathalie Arthaud,Age de la retraite,Retraites,Emploi,Age légal à 60 ans ,La candidate d'extrême gauche souhaite avancer l'âge légal de départ à la retraite à 60 ans,pos.: 19 | détail:91,"","","",Social,Economie
Nathalie Arthaud,Bien-être animal,Condition animale,"",Combattre l'élevage et l'abattage intensifs,"Elle souhaite combattre l'élevage et l'abattage intensifs qui imposent aux animaux des souffrances inutiles. Selon la candidate d'extreme gauche, ces abus sont une conséquence directe du fonctionnement de l’économie capitaliste au profit immédiat en faisant fi de la nature, des animaux et des hommes. Elle se dit également opposée à la corrida ou aux combats de coqs car il n'est pas légitime de se divertir d'un spectacle qui occasionne des sévices aux animaux.",pos.: 43 | détail:467,Programme,https://www.nathalie-arthaud.info/qui-sommes-nous/nos-idees-et-positions-politiques/condition-animale,"",Environnement,""
Nathalie Arthaud,Position sur la chasse ,Droit animal,"",Interdire la chasse à courre,"Aspirant à vivre dans une société dans laquelle les êtres humains auront d’autres passe-temps que la chasse, Nathalie Arthaud se dit favorable à l’interdiction de la chasse à courre qu'elle qualifie de loisir cruel de riches oisifs en mal de distraction.",pos.: 28 | détail:258,Programme,https://www.nathalie-arthaud.info/qui-sommes-nous/nos-idees-et-positions-politiques/condition-animale,"",Environnement,""
Nathalie Arthaud,Profits et actionnariat salarié,Fiscalité,"",Rendre publique l'utilisation des profits des entreprises,La candidate de Lutte ouvrière annonce qu'elle souhaite lever le secret commercial et rendre publiques l’utilisation des profits et la fortune des actionnaires. Les travailleurs doivent contrôler les entreprises pour garantir leur utilisation au service de toute la société et s’assurer que le travail ne serve pas qu’à enrichir une minorité.,pos.: 57 | détail:348,Programme,https://www.nathalie-arthaud.info/mon-programme-de-luttes-194041.html,"",Economie,""
Nathalie Arthaud,Lutte contre le Covid-19,Santé,"",Lever les brevets des vaccins contre le Covid-19,"Pour la candidate d'extrême gauche, les brevets des vaccins contre le Covid-19 refusés aux pays pauvres accélèrent l’enrichissement de quelques millionnaires. Elle est ainsi favorable à leur levée. ",pos.: 48 | détail:200,Programme,https://www.nathalie-arthaud.info/editoriaux/brevets-sur-les-vaccins-bas-la-propriete-capitaliste-158835.html,"",Société,""
Nathalie Arthaud,Accueil des migrants,Asile et immigration,"",Instaurer la liberté de circulation des migrants,La candidate de Lutte ouvrière revendique la liberté de circulation et d'installation des migrants. Elle invite à accueillir ces femmes et ces hommes chassés de chez eux comme des frères et des sœurs. ,pos.: 48 | détail:203,Programme,https://www.nathalie-arthaud.info/liberte-de-circulation-194168.html,"",Société,""
